,region,housing_type,consumption
182,Bukit Timah,Landed Properties,1466.9821052631578
183,Bukit Timah,3-room,184.4266666666672
184,Bukit Timah,Private Housing,589.8842105263175
185,Bukit Timah,1-room / 2-room,472.244999999999
186,Bukit Timah,Overall,588.2115789473683
187,Bukit Timah,Private Apartments and Condominiums,298.3147368421014
188,Bukit Timah,4-room,269.3057142857133
189,Woodlands,Public Housing,390.4810526315789
190,Woodlands,5-room and Executive,423.569047619048
191,Woodlands,Landed Properties,-965.4610526315519
192,Woodlands,3-room,380.3809523809523
193,Woodlands,Private Housing,30.085263157896406
194,Woodlands,1-room / 2-room,282.82526315789437
195,Woodlands,Overall,388.07684210526304
196,Woodlands,Private Apartments and Condominiums,350.61789473684166
197,Woodlands,4-room,467.8571428571422
198,Orchard,Public Housing,-1.0
199,Orchard,5-room and Executive,-1.0
200,Orchard,Landed Properties,-1.0
201,Orchard,3-room,-1.0
202,Orchard,Private Housing,302.0294736842043
203,Orchard,1-room / 2-room,-1.0
204,Orchard,Overall,302.0294736842043
205,Orchard,Private Apartments and Condominiums,307.5526315789539
206,Orchard,4-room,-1.0
207,Hougang,Public Housing,303.07263157894795
208,Hougang,5-room and Executive,371.69642857142844
209,Hougang,Landed Properties,923.1421052631579
210,Hougang,3-room,272.3980952380952
211,Hougang,Private Housing,214.01684210526219
212,Hougang,1-room / 2-room,224.72000000000025
213,Hougang,Overall,349.45052631578983
214,Hougang,Private Apartments and Condominiums,193.86842105262986
215,Hougang,4-room,386.5485714285713
216,Pasir Ris,Public Housing,405.7989473684215
217,Pasir Ris,5-room and Executive,401.2738095238092
218,Pasir Ris,Landed Properties,906.1115789473679
219,Pasir Ris,3-room,419.7628571428577
220,Pasir Ris,Private Housing,-29.572631578950677
221,Pasir Ris,1-room / 2-room,102.23473684210512
222,Pasir Ris,Overall,351.9652631578956
223,Pasir Ris,Private Apartments and Condominiums,72.75368421052553
224,Pasir Ris,4-room,404.31047619047615
225,Kallang,Public Housing,306.0242105263158
226,Kallang,5-room and Executive,289.0785714285703
227,Kallang,Landed Properties,985.371578947369
228,Kallang,3-room,207.88285714285666
229,Kallang,Private Housing,130.24631578947447
230,Kallang,1-room / 2-room,205.32736842105305
231,Kallang,Overall,331.7084210526318
232,Kallang,Private Apartments and Condominiums,68.58315789473636
233,Kallang,4-room,346.8028571428572
234,Pioneer,Public Housing,-1.0
235,Pioneer,5-room and Executive,-1.0
236,Pioneer,Landed Properties,-1.0
237,Pioneer,3-room,-1.0
238,Pioneer,Private Housing,-763.7476027397206
239,Pioneer,1-room / 2-room,-1.0
240,Pioneer,Overall,-1.0
241,Pioneer,Private Apartments and Condominiums,-763.7476027397206
242,Pioneer,4-room,-1.0
243,Geylang,Public Housing,313.0336842105262
244,Geylang,5-room and Executive,257.29523809523926
245,Geylang,Landed Properties,925.3568421052623
246,Geylang,3-room,221.59523809523807
247,Geylang,Private Housing,48.95578947368631
248,Geylang,1-room / 2-room,217.34421052631615
249,Geylang,Overall,358.32315789473705
250,Geylang,Private Apartments and Condominiums,16.126315789471846
251,Geylang,4-room,180.18190476190466
252,Punggol,Public Housing,302.096842105263
253,Punggol,5-room and Executive,532.9285714285716
254,Punggol,Landed Properties,1483.757894736842
255,Punggol,3-room,412.0171428571439
256,Punggol,Private Housing,-1599.052631578932
257,Punggol,1-room / 2-room,301.0595604395594
258,Punggol,Overall,307.5789473684208
259,Punggol,Private Apartments and Condominiums,-1.0
260,Punggol,4-room,525.8238095238103
261,Bukit Merah,Public Housing,309.85157894736847
262,Bukit Merah,5-room and Executive,269.5380952380947
263,Bukit Merah,Landed Properties,911.7863157894753
264,Bukit Merah,3-room,218.74000000000024
265,Bukit Merah,Private Housing,203.39578947368136
266,Bukit Merah,1-room / 2-room,225.65789473684163
267,Bukit Merah,Overall,384.9873684210527
268,Bukit Merah,Private Apartments and Condominiums,241.99684210526175
269,Bukit Merah,4-room,355.67714285714294
270,Sembawang,Public Housing,307.7778947368415
271,Sembawang,5-room and Executive,349.1488095238092
272,Sembawang,Landed Properties,1650.21263157895
273,Sembawang,3-room,737.9466666666667
274,Sembawang,Private Housing,435.09894736842034
275,Sembawang,1-room / 2-room,305.4771428571439
276,Sembawang,Overall,376.7568421052629
277,Sembawang,Private Apartments and Condominiums,221.89999999999964
278,Sembawang,4-room,569.9514285714286
279,Toa Payoh,Public Housing,300.89052631578966
280,Toa Payoh,5-room and Executive,308.197619047618
281,Toa Payoh,Landed Properties,846.1989473684207
282,Toa Payoh,3-room,198.2161904761906
283,Toa Payoh,Private Housing,146.84842105263306
284,Toa Payoh,1-room / 2-room,194.04736842105262
285,Toa Payoh,Overall,345.11157894736834
286,Toa Payoh,Private Apartments and Condominiums,54.32526315789437
287,Toa Payoh,4-room,300.56190476190477
288,Museum,Public Housing,-1.0
289,Museum,5-room and Executive,-1.0
290,Museum,Landed Properties,-1.0
291,Museum,3-room,-1.0
292,Museum,Private Housing,180.6547368421052
293,Museum,1-room / 2-room,-1.0
294,Museum,Overall,180.5747368421071
295,Museum,Private Apartments and Condominiums,364.41157894736716
296,Museum,4-room,-1.0
297,River Valley,Public Housing,-1.0
298,River Valley,5-room and Executive,-1.0
299,River Valley,Landed Properties,1168.3894736842085
